merchant_sku,source_type,identity_source_type,image_source_type,source_page_url,source_image_url,prepared_image_path,mime,width,height,file_size,sha256,perceptual_hash,identity_status,duplicate_status,storage_path,public_url,upload_status,upload_http_status,public_get_status,remote_sha256,sha_match,verified_at
ARD-1318,trusted_retailer,trusted_retailer,trusted_retailer,https://www.nahdionline.com/en-ae/lattafa-shamoukh-eau-de-parfum-unisex-30-ml/pdp/103563877,https://ecombe.nahdionline.com/media/catalog/product/1/0/103563877_a7b937cf11489f90d_97335.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-1318.webp,image/webp,1200,1200,53394,A629651178D34F4AEA3B156A65BF5A1D291175D7B27377B8026C00024916803B,6969696969696979,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,uploaded_verified,201,200,A629651178D34F4AEA3B156A65BF5A1D291175D7B27377B8026C00024916803B,true,2026-08-04T11:56:52.989Z
ARD-1319,trusted_retailer,trusted_retailer,trusted_retailer,https://www.nahdionline.com/en-ae/lattafa-thara-eau-de-parfum-for-unisex-30-ml/pdp/103563797,https://ecombe.nahdionline.com/media/catalog/product/1/0/103563797_af4bcc337b29575d0_56583.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-1319.webp,image/webp,1200,1200,100318,7DAA6791227A42A869006B53FC1A65D6494273A6F9E0EDFC1DE2782BDDB480EF,a48494a5a5a4ac8c,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,uploaded_verified,201,200,7DAA6791227A42A869006B53FC1A65D6494273A6F9E0EDFC1DE2782BDDB480EF,true,2026-08-04T11:57:12.056Z
ARD-1320,trusted_retailer,trusted_retailer,trusted_retailer,https://www.nahdionline.com/en-ae/lattafa-maali-eau-de-parfum-unisex-30-ml/pdp/103564124,https://ecombe.nahdionline.com/media/catalog/product/1/0/103564124_a51876f12c36eb8f6_36869.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-1320.webp,image/webp,1200,1200,85000,0762240A4C2147845E21A0CDC08FB0856AB59B505C74299C3681BE14D32AF37A,0060696961696900,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,uploaded_verified,201,200,0762240A4C2147845E21A0CDC08FB0856AB59B505C74299C3681BE14D32AF37A,true,2026-08-04T11:57:11.945Z
ARD-1369,official_distributor,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/al-dur-al-maknoon/,https://www.lattafa.my/cdn/perfumes/lattafa/al-dur-al-maknoon-silver-perfume-100ml-edp-lattafa-emirate/large/image.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-1369.webp,image/webp,1200,1200,40166,6C219635E913F8A791DD357102A78EE6B6370FB8A9DF6CA2B95E7C5FEAF98636,00c9c1c0cadab89a,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,uploaded_verified,201,200,6C219635E913F8A791DD357102A78EE6B6370FB8A9DF6CA2B95E7C5FEAF98636,true,2026-08-04T11:57:11.939Z
ARD-1430,official_distributor,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/ameer-al-oudh-intense/,https://www.lattafa.my/cdn/perfumes/lattafa/ameer-al-oudh-intense-lattafa-perfume-unisex-oud-smoky-long-lasting-100ml-edp/large/image.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-1430.webp,image/webp,1200,1200,60810,40F02A905A6CDBEF13F2605F5D4A6AEC01F9A7E92F64C30D32EDC87C0F92AA0C,92959494d49c9090,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1430.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1430.webp,uploaded_verified,201,200,40F02A905A6CDBEF13F2605F5D4A6AEC01F9A7E92F64C30D32EDC87C0F92AA0C,true,2026-08-04T11:57:12.012Z
ARD-1480,official_distributor,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/oud-lail-maleki/,https://www.lattafa.my/cdn/perfumes/lattafa/oud-lail-maleki-by-lattafa-100ml-edp-malaysia/large/image.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-1480.webp,image/webp,1200,1200,129302,B7A1BEBC47C4378F71BC5852D3446B93DB32B8A2DB7FC47DB77662947E13BCE8,cce9e8c8ccccdc18,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1480.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1480.webp,uploaded_verified,201,200,B7A1BEBC47C4378F71BC5852D3446B93DB32B8A2DB7FC47DB77662947E13BCE8,true,2026-08-04T11:57:12.150Z
ARD-1858,official_distributor,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/yara/,https://www.lattafa.my/cdn/perfumes/lattafa/yara-lattafa-100ml-edp-perfume-women-malaysia/large/image.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-1858.webp,image/webp,1200,1200,72462,9E1437F4CCB3E75E8C1570592BAEDA7C99311DE137FF0DA4495F57ED231EB463,10d8ccccccccccde,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1858.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1858.webp,uploaded_verified,201,200,9E1437F4CCB3E75E8C1570592BAEDA7C99311DE137FF0DA4495F57ED231EB463,true,2026-08-04T11:57:12.133Z
ARD-2126,official_distributor,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/badee-al-oud-amethyst/,https://www.lattafa.my/cdn/perfumes/lattafa/badee-al-oud-amethyst-lattafa-100ml-edp-unisex-perfume-malaysia/large/image.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-2126.webp,image/webp,1200,1200,181222,4651376EBD18B3605B0C655F861BC734B23D5B8EA9EB3DC6D2616DC2596E1D4C,80f9f88c8a8aa2aa,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2126.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2126.webp,uploaded_verified,201,200,4651376EBD18B3605B0C655F861BC734B23D5B8EA9EB3DC6D2616DC2596E1D4C,true,2026-08-04T11:57:12.215Z
ARD-2423,official_distributor,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/qaaed-al-shabaab/,https://www.lattafa.my/cdn/perfumes/lattafa/qaaed-al-shabaab-lattafa-perfume-lelaki-amber-spicy-100ml-edp/large/image.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-2423.webp,image/webp,1200,1200,98712,DDB05BD55215F169989B7CA4D6359BE1F76F6E7A41C1ED8655D671AEDA6C5A5D,01a4a4ac9ab2a292,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2423.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2423.webp,uploaded_verified,201,200,DDB05BD55215F169989B7CA4D6359BE1F76F6E7A41C1ED8655D671AEDA6C5A5D,true,2026-08-04T11:57:12.373Z
ARD-2436,official_distributor,official_distributor,official_distributor,https://www.lattafa.my/perfumes/lattafa/suqraat/,https://www.lattafa.my/cdn/perfumes/lattafa/suqraat-by-lattafa-100ml-edp-men-malaysia/large/image.jpg,E:/Project/DilMart-Store/.tmp-product-import/ard-al-khaleej/batch100/images/ARD-2436.webp,image/webp,1200,1200,96964,2B3CBF3F7FAA609BE3EBDBD1462100C86944AB49F7B5C5414968FA91A19C8E53,04828290d0909002,VERIFIED,unique,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2436.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2436.webp,uploaded_verified,201,200,2B3CBF3F7FAA609BE3EBDBD1462100C86944AB49F7B5C5414968FA91A19C8E53,true,2026-08-04T11:57:12.286Z
