sku,name,slug,brand,sizes,category_slug,price,image_url,short_description,description,stock,is_active,is_published,visibility_status,discount_price,merchant_id
ARD-1318,30 مل الشموخ,30-مل-الشموخ-ard-1318,Lattafa,30 مل,mini-travel-perfume,7000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,عطر الشموخ من لطافة بحجم 30 مل ضمن مجموعة ثمين، برائحة شرقية حارة وخشبية دافئة، مثالي للسفر والاستخدام اليومي بحجم ميني عملي.,"عائلة عطرية: Sweet Spicy / Oriental | المقدمة: Spicy floral | القلب: Spicy | القاعدة: Balsamic vanilla, amber, woody",0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
ARD-1319,30 مل ثراء,30-مل-ثراء-ard-1319,Lattafa,30 مل,mini-travel-perfume,7000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,عطر ثراء من لطافة بحجم 30 مل من مجموعة ثمين، بتركيبة زهرية دافئة مع لمسات خشبية، حجم ميني مناسب للسفر والاستخدام اليومي.,"عائلة عطرية: Floral Woody | المقدمة: Allspice, purple freesia | القلب: Heliotrope, jasmine, hibiscus, Bulgarian rose | القاعدة: Himalayan cedar, warm skin accord, sandalwood, incense",0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
ARD-1320,30 مل معالي,30-مل-معالي-ard-1320,Lattafa,30 مل,mini-travel-perfume,7000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,عطر معالي من لطافة بحجم 30 مل ضمن مجموعة ثمين، بافتتاحية حمضية وقلب زهري ناعم، حجم ميني عملي للسفر والاستخدام اليومي.,"عائلة عطرية: Citrus Floral | المقدمة: Fresh citrus | القلب: Magnolia, honeysuckle, raspberry | القاعدة: Cashmere wood, amber, musk",0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
ARD-1369,عطر الدر المكنون سلفر,عطر-الدر-المكنون-سلفر-ard-1369,Lattafa,100 مل,perfumes,12000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,عطر عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
ARD-1430,عطر امير العود / انتنس عود,عطر-امير-العود-انتنس-عود-ard-1430,Lattafa,100 مل,perfumes,18000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1430.webp,عطر أمير العود إنتنس عود من لطافة بحجم 100 مل، بطابع عودي دخاني ثابت.,,0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
ARD-1480,عطر عود ليل ملكي,عطر-عود-ليل-ملكي-ard-1480,Lattafa,100 مل,perfumes,15000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1480.webp,عطر عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
ARD-1858,عطر يارا,عطر-يارا-ard-1858,Lattafa,100 مل,perfumes,30000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1858.webp,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية فانيليا أنثوية شهيرة بثبات عالٍ واستخدام يومي.,"عائلة عطرية: Amber Vanilla | المقدمة: Tangerine, heliotrope, orchid | القلب: Tropical notes, gourmand | القاعدة: Vanilla, sandalwood, musk",0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
ARD-2126,عطر بديع العود اميثست,عطر-بديع-العود-اميثست-ard-2126,Lattafa,100 مل,perfumes,35000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2126.webp,عطر بديع العود أميثست من لطافة بحجم 100 مل، برائحة خط بديع العود الرسمية.,,0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
ARD-2423,عطر قائد الشباب 100 مل,عطر-قائد-الشباب-100-مل-ard-2423,Lattafa,100 مل,perfumes,18000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2423.webp,عطر قائد الشباب من لطافة بحجم 100 مل للرجال، برائحة كهرمانية جلدية خشبية مع لمسة عود دافئة وثابتة.,"عائلة عطرية: Amber / Leather Woody | المقدمة: Osmanthus, ylang-ylang | القلب: Leather, cedar | القاعدة: Oud, light amber",0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
ARD-2436,عطر سقراط,عطر-سقراط-ard-2436,Lattafa,100 مل,perfumes,18000,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2436.webp,عطر عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,0,false,false,private,,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7
