merchant_sku,reason,phase
ARD-1796,HOLD_or_image_conflict_replaced,A2
ARD-3306,HOLD_or_image_conflict_replaced,A2
ARD-3310,HOLD_or_image_conflict_replaced,A2
ARD-2006,HOLD_or_image_conflict_replaced,A2
ARD-2007,HOLD_or_image_conflict_replaced,A2
ARD-2009,HOLD_or_image_conflict_replaced,A2
ARD-1708,HOLD_or_image_conflict_replaced,A2
ARD-1709,HOLD_or_image_conflict_replaced,A2
ARD-1414,HOLD_or_image_conflict_replaced,A2
ARD-3425,HOLD_or_image_conflict_replaced,A2
ARD-3426,HOLD_or_image_conflict_replaced,A2
ARD-2497,HOLD_or_image_conflict_replaced,A2
ARD-2116,HOLD_or_image_conflict_replaced,A2
ARD-2519,HOLD_or_image_conflict_replaced,A2
ARD-2971,HOLD_or_image_conflict_replaced,A2
ARD-3247,HOLD_or_image_conflict_replaced,A2
ARD-3276,HOLD_or_image_conflict_replaced,A2
ARD-3348,HOLD_or_image_conflict_replaced,A2
ARD-3354,HOLD_or_image_conflict_replaced,A2
ARD-3533,HOLD_or_image_conflict_replaced,A2
ARD-3534,HOLD_or_image_conflict_replaced,A2
ARD-3535,HOLD_or_image_conflict_replaced,A2
ARD-3537,HOLD_or_image_conflict_replaced,A2
ARD-3699,HOLD_or_image_conflict_replaced,A2
ARD-3700,HOLD_or_image_conflict_replaced,A2
ARD-2668,HOLD_or_image_conflict_replaced,A2
ARD-2670,HOLD_or_image_conflict_replaced,A2
ARD-2672,HOLD_or_image_conflict_replaced,A2
ARD-2675,HOLD_or_image_conflict_replaced,A2
ARD-3259,HOLD_or_image_conflict_replaced,A2
ARD-4193,HOLD_or_image_conflict_replaced,A2
ARD-2623,HOLD_or_image_conflict_replaced,A2
ARD-2768,HOLD_or_image_conflict_replaced,A2
ARD-249,HOLD_or_image_conflict_replaced,A2
ARD-3701,HOLD_or_image_conflict_replaced,A2
