merchant_sku,storage_path,public_url,upload_status,upload_http_status,public_get_status,local_sha256,remote_sha256,sha_match,error,verified_at
ARD-1318,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,uploaded_verified,201,200,A629651178D34F4AEA3B156A65BF5A1D291175D7B27377B8026C00024916803B,A629651178D34F4AEA3B156A65BF5A1D291175D7B27377B8026C00024916803B,true,,2026-08-04T11:56:52.989Z
ARD-1319,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,uploaded_verified,201,200,7DAA6791227A42A869006B53FC1A65D6494273A6F9E0EDFC1DE2782BDDB480EF,7DAA6791227A42A869006B53FC1A65D6494273A6F9E0EDFC1DE2782BDDB480EF,true,,2026-08-04T11:57:12.056Z
ARD-1320,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,uploaded_verified,201,200,0762240A4C2147845E21A0CDC08FB0856AB59B505C74299C3681BE14D32AF37A,0762240A4C2147845E21A0CDC08FB0856AB59B505C74299C3681BE14D32AF37A,true,,2026-08-04T11:57:11.945Z
ARD-1369,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,uploaded_verified,201,200,6C219635E913F8A791DD357102A78EE6B6370FB8A9DF6CA2B95E7C5FEAF98636,6C219635E913F8A791DD357102A78EE6B6370FB8A9DF6CA2B95E7C5FEAF98636,true,,2026-08-04T11:57:11.939Z
ARD-1430,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1430.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1430.webp,uploaded_verified,201,200,40F02A905A6CDBEF13F2605F5D4A6AEC01F9A7E92F64C30D32EDC87C0F92AA0C,40F02A905A6CDBEF13F2605F5D4A6AEC01F9A7E92F64C30D32EDC87C0F92AA0C,true,,2026-08-04T11:57:12.012Z
ARD-1480,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1480.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1480.webp,uploaded_verified,201,200,B7A1BEBC47C4378F71BC5852D3446B93DB32B8A2DB7FC47DB77662947E13BCE8,B7A1BEBC47C4378F71BC5852D3446B93DB32B8A2DB7FC47DB77662947E13BCE8,true,,2026-08-04T11:57:12.150Z
ARD-1858,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1858.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1858.webp,uploaded_verified,201,200,9E1437F4CCB3E75E8C1570592BAEDA7C99311DE137FF0DA4495F57ED231EB463,9E1437F4CCB3E75E8C1570592BAEDA7C99311DE137FF0DA4495F57ED231EB463,true,,2026-08-04T11:57:12.133Z
ARD-2126,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2126.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2126.webp,uploaded_verified,201,200,4651376EBD18B3605B0C655F861BC734B23D5B8EA9EB3DC6D2616DC2596E1D4C,4651376EBD18B3605B0C655F861BC734B23D5B8EA9EB3DC6D2616DC2596E1D4C,true,,2026-08-04T11:57:12.215Z
ARD-2423,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2423.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2423.webp,uploaded_verified,201,200,DDB05BD55215F169989B7CA4D6359BE1F76F6E7A41C1ED8655D671AEDA6C5A5D,DDB05BD55215F169989B7CA4D6359BE1F76F6E7A41C1ED8655D671AEDA6C5A5D,true,,2026-08-04T11:57:12.373Z
ARD-2436,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2436.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2436.webp,uploaded_verified,201,200,2B3CBF3F7FAA609BE3EBDBD1462100C86944AB49F7B5C5414968FA91A19C8E53,2B3CBF3F7FAA609BE3EBDBD1462100C86944AB49F7B5C5414968FA91A19C8E53,true,,2026-08-04T11:57:12.286Z
ARD-2437,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2437.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2437.webp,uploaded_verified,201,200,C6950561032B6D9A768662572F413071B2194DB920450CA7BA8D874D69C8E12D,C6950561032B6D9A768662572F413071B2194DB920450CA7BA8D874D69C8E12D,true,,2026-08-04T11:57:12.330Z
ARD-2471,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2471.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2471.webp,uploaded_verified,201,200,6E2D35E1CAA9D7934089313A12F023FB11584B14E41DEF38B52C88FCBE4A04A3,6E2D35E1CAA9D7934089313A12F023FB11584B14E41DEF38B52C88FCBE4A04A3,true,,2026-08-04T11:57:12.411Z
ARD-2493,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2493.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2493.webp,uploaded_verified,201,200,946B25EAF395984827F3B730B906161298B17EB37E656F4C7A2526E88AEFD0DF,946B25EAF395984827F3B730B906161298B17EB37E656F4C7A2526E88AEFD0DF,true,,2026-08-04T11:57:12.424Z
ARD-2494,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2494.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2494.webp,uploaded_verified,201,200,A7F5CF74E953D9A24711E9641957781F5E48DDB6BE321A4BC1391689B95F623C,A7F5CF74E953D9A24711E9641957781F5E48DDB6BE321A4BC1391689B95F623C,true,,2026-08-04T11:57:12.477Z
ARD-2511,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2511.webp,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2511.webp,uploaded_verified,201,200,6D300DCD9E4A60C6B71AFF827AF4C2E067E7F74E492F265D87417E2B684EEEB7,6D300DCD9E4A60C6B71AFF827AF4C2E067E7F74E492F265D87417E2B684EEEB7,true,,2026-08-04T11:57:12.567Z
