merchant_sku,product_id,name,slug,brand,price,stock,is_active,is_published,visibility_status,discount_price,category_slug,image_url,short_char_count,description_present,match_final_csv,issues
ARD-1318,19083415-2b0d-4367-bbd6-f793baccbc8c,30 مل الشموخ,30-مل-الشموخ-ard-1318,Lattafa,7000.00,0,false,false,private,,mini-travel-perfume,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,125,true,true,
ARD-1319,ea508cf2-b502-4e2e-aa62-f8f6815f29c1,30 مل ثراء,30-مل-ثراء-ard-1319,Lattafa,7000.00,0,false,false,private,,mini-travel-perfume,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,120,true,true,
ARD-1320,f550ffae-8e84-4cd6-af3d-726db00d0c05,30 مل معالي,30-مل-معالي-ard-1320,Lattafa,7000.00,0,false,false,private,,mini-travel-perfume,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,117,true,true,
ARD-1369,44b6769e-1fa7-4eff-aee0-6aaeaa359f09,عطر الدر المكنون سلفر,عطر-الدر-المكنون-سلفر-ard-1369,Lattafa,12000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,110,false,true,
ARD-1430,1995f2cc-21d1-4e46-8dbc-89505313c316,عطر امير العود / انتنس عود,عطر-امير-العود-انتنس-عود-ard-1430,Lattafa,18000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1430.webp,69,false,true,
ARD-1480,df4a2fc0-53bc-45b0-8c5e-032a523c4ada,عطر عود ليل ملكي,عطر-عود-ليل-ملكي-ard-1480,Lattafa,15000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1480.webp,105,false,true,
ARD-1858,0efda44b-94f2-4352-8de8-ccbfa8c4e224,عطر يارا,عطر-يارا-ard-1858,Lattafa,30000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1858.webp,98,true,true,
ARD-2126,df231857-3081-4c6a-85e6-18b25b66d9e3,عطر بديع العود اميثست,عطر-بديع-العود-اميثست-ard-2126,Lattafa,35000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2126.webp,73,false,true,
ARD-2423,fcba2e4c-9a35-40cb-a4c3-20820c8a6520,عطر قائد الشباب 100 مل,عطر-قائد-الشباب-100-مل-ard-2423,Lattafa,18000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2423.webp,98,true,true,
ARD-2436,045101a0-93fd-41b8-8f8c-f812f5557bec,عطر سقراط,عطر-سقراط-ard-2436,Lattafa,18000.00,0,false,false,private,,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2436.webp,102,false,true,
