sku,source_code,name,brand,size,price,product_type,file_category,file_confidence,final_category,final_slug,confidence,reason,evidence_basis,review_status,review_reason,reviewed_at,stage2_status,tree,is_pilot10,corrected_from_excel,in_original_focus350
ARD-3812,3812,لوشن سيف الفارس بابايا ليمون 500 مل,Saif Al Fares,500 مل,4000,لوشن جسم,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=لوشن سيف الفارس بابايا ليمون 500 مل; product_type=لوشن جسم,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3813,3813,لوشن سيف الفارس كاكاو وصويا 500 مل,Saif Al Fares,500 مل,4000,لوشن جسم,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=لوشن سيف الفارس كاكاو وصويا 500 مل; product_type=لوشن جسم,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3814,3814,لوشن سيف الفارس ألوفيرا بلو بيري 500 مل,Saif Al Fares,500 مل,4000,لوشن جسم,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=لوشن سيف الفارس ألوفيرا بلو بيري 500 مل; product_type=لوشن جسم,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3815,3815,لوشن سيف الفارس رمان عنب 500 مل,Saif Al Fares,500 مل,4000,لوشن جسم,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=لوشن سيف الفارس رمان عنب 500 مل; product_type=لوشن جسم,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3816,3816,لوشن سيف الفارس ماء ورد لوز 500 مل,Saif Al Fares,500 مل,4000,لوشن جسم,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=لوشن سيف الفارس ماء ورد لوز 500 مل; product_type=لوشن جسم,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3819,3819,شاور جل سنسيت بردايس,Saif Al Fares,,3000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور جل سنسيت بردايس; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3820,3820,شاور جل رومانتك وايت تي,Saif Al Fares,,3000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور جل رومانتك وايت تي; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3821,3821,شاور جل برتي بلوسوم,Saif Al Fares,,3000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور جل برتي بلوسوم; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3822,3822,شاور جل كاونتري كرين تي,Saif Al Fares,,3000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور جل كاونتري كرين تي; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3823,3823,شاور جل بيونس كاردن,Saif Al Fares,,3000,شاور جل,العناية بالجسم والاستحمام,high,العناية بالجسم والاستحمام,body-bath-care,high,explicit body/bath type,name=شاور جل بيونس كاردن; product_type=شاور جل,approved,explicit body/bath type,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,NO
ARD-3835,3835,عطر اكوا اصالة مسك 100 مل,Saif Al Fares,100 مل,10000,عطر,العطور,high,المسك والمخمريات والعطور الزيتية,musk-oils-mukhammaria,high,explicit musk/oil/mukhammaria,name=عطر اكوا اصالة مسك 100 مل; product_type=عطر,corrected,explicit musk/oil/mukhammaria,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-467,467,عطر مسك مود,Lattafa,,16000,عطر,العطور,high,المسك والمخمريات والعطور الزيتية,musk-oils-mukhammaria,high,explicit musk/oil/mukhammaria,name=عطر مسك مود; product_type=عطر,corrected,explicit musk/oil/mukhammaria,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-775,775,عطر مسك السلامه,Lattafa,,15000,عطر,العطور,high,المسك والمخمريات والعطور الزيتية,musk-oils-mukhammaria,high,explicit musk/oil/mukhammaria,name=عطر مسك السلامه; product_type=عطر,corrected,explicit musk/oil/mukhammaria,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-2511,2511,عطر انا الابيض بودري,Lattafa,,18000,عطر,العطور,high,العطور,perfumes,high,standard perfume,name=عطر انا الابيض بودري; product_type=عطر,approved,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-3259,3259,عطر صفوان عطر المسك 100 مل,Lattafa,100 مل,24000,عطر,العطور,high,المسك والمخمريات والعطور الزيتية,musk-oils-mukhammaria,high,explicit musk/oil/mukhammaria,name=عطر صفوان عطر المسك 100 مل; product_type=عطر,corrected,explicit musk/oil/mukhammaria,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-4193,4193,عطر فلفت مسك 100 مل,Lattafa,100 مل,23000,عطر,العطور,high,المسك والمخمريات والعطور الزيتية,musk-oils-mukhammaria,high,explicit musk/oil/mukhammaria,name=عطر فلفت مسك 100 مل; product_type=عطر,corrected,explicit musk/oil/mukhammaria,2026-08-02T07:33:46Z,ready,proposed_child,NO,YES,YES
ARD-4635,4635,عطر اطلس 55 مل,Lattafa,55 مل,32000,عطر,العطور,high,العطور,perfumes,high,standard perfume,name=عطر اطلس 55 مل; product_type=عطر,approved,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-4652,4652,عطر كف مي كورماند بيري اون توب 75 مل,Lattafa,75 مل,37000,عطر,العطور,high,العطور,perfumes,high,standard perfume,name=عطر كف مي كورماند بيري اون توب 75 مل; product_type=عطر,approved,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-4653,4653,عطر كف مي كورماند مالو مادنس 75 مل,Lattafa,75 مل,37000,عطر,العطور,high,العطور,perfumes,high,standard perfume,name=عطر كف مي كورماند مالو مادنس 75 مل; product_type=عطر,approved,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
ARD-4654,4654,عطر كف مي كورماند ويبد بلشور 75 مل,Lattafa,75 مل,37000,عطر,العطور,high,العطور,perfumes,high,standard perfume,name=عطر كف مي كورماند ويبد بلشور 75 مل; product_type=عطر,approved,standard perfume,2026-08-02T07:33:46Z,ready,proposed_child,NO,NO,YES
