merchant_sku,exact_product_identity,exact_variant,brand,size,product_type,source_url,source_type,source_date,evidence_notes,confidence,reviewer_decision
ARD-2793,Fakhar Lattafa Men home air freshener 300ml,Men / silver damask can,Lattafa,300 مل,home-linen-air,https://www.timesperfumes.com.au/products/fakhar-men-air-freshener-300ml,reputable_retailer,2026-08-04,Can labeled ملطف جو / Air Freshener / e 300 ML; Fakhar Lattafa Pride of Lattafa,high,READY_FOR_EXECUTION_REVIEW
ARD-2797,Fakhar Lattafa Women home air freshener 300ml,Women / rose-gold can,Lattafa,300 مل,home-linen-air,https://www.timesperfumes.com.au/products/fakhar-women-air-freshener-300ml,reputable_retailer,2026-08-04,Rose-gold can; ملطف جو / Air Freshener 300 ML; Fakhar Lattafa women packaging,high,READY_FOR_EXECUTION_REVIEW
ARD-4300,معطر جو بديع العود ابيض 300 مل,300ml home spray (unverified replacement),Lattafa,300 مل,home-linen-air,,,2026-08-04,No verified downloadable 300ml Badee Al Oud White air-freshener packshot after retailer CDN probes; refuse perfume EDP substitute.,n/a,HOLD_NO_VERIFIED_REPLACEMENT
ARD-4564,Maahir home air freshener 300ml,Maahir black/gold horse-head can,Lattafa,300 مل,home-linen-air,https://www.timesperfumes.com.au/products/maahir-air-freshner-300ml,reputable_retailer,2026-08-04,Black aerosol can with gold MAAHIR horse logo; Air Freshener e 300 ML,high,READY_FOR_EXECUTION_REVIEW
ARD-4750,معطر جو اكلاير 300 مل,300ml home spray (unverified replacement),Lattafa,300 مل,home-linen-air,,,2026-08-04,No verified downloadable 300ml Eclaire air-freshener packshot; refuse perfume EDP substitute.,n/a,HOLD_NO_VERIFIED_REPLACEMENT
ARD-4751,معطر جو مسمم ابيض 300 مل,300ml home spray (unverified replacement),Lattafa,300 مل,home-linen-air,,,2026-08-04,No verified downloadable 300ml Musamam White air-freshener packshot; refuse perfume EDP substitute.,n/a,HOLD_NO_VERIFIED_REPLACEMENT
ARD-4752,Badee Al Oud Noble Blush home air freshener 300ml,Noble Blush pink can,Lattafa,300 مل,home-linen-air,https://www.eshaistic.pk/lattafa-badee-al-oud-noble-blush-air-freshener-300ml/,reputable_retailer,2026-08-04,Pink can labeled NOBLE BLUSH / BADEE AL OUD / Air Freshener e 300 ML,high,READY_FOR_EXECUTION_REVIEW
ARD-4807,معطر جو نبراس 300 مل,300ml home spray (unverified replacement),Lattafa,300 مل,home-linen-air,,,2026-08-04,No verified downloadable 300ml Nebras air-freshener packshot; refuse perfume EDP substitute.,n/a,HOLD_NO_VERIFIED_REPLACEMENT
ARD-4792,Musamam Black Intense EDP 100ml,Black Intense (black glass + black snake cap),Lattafa,100 مل,perfumes,https://www.notino.co.uk/lattafa/musamam-black-intense-eau-de-parfum-unisex/,reputable_retailer,2026-08-04,Bottle text MUSAMAM BLACK INTENSE; black glass; black snake — not White Intense,high,READY_FOR_EXECUTION_REVIEW
ARD-775,Asdaaf Salamah EDP 100ml (re-identify from Lattafa musk listing),Salamah EDP bottle+box,Asdaaf,100 مل,perfumes,https://www.lattafa.my/perfumes/lattafa/salamah/,official_distributor,2026-08-04,Option B: packaging ASDAAF SALAMAH EDP 100ml; no verified Lattafa musk-oil 'مسك السلامه' found (Option A HOLD). Catalog Arabic السلامه matches Salamah.,high,READY_FOR_EXECUTION_REVIEW
ARD-823,Sheikh Al Shuyukh 50ml EDP + deodorant set,50ml set (not standalone 100ml),Lattafa,50 مل,perfumes,https://www.lattafa.my/perfumes/lattafa/sheikh-al-shuyukh/,official_distributor,2026-08-04,Bottle+box print EAU DE PARFUM 50 ML; deodorant included. Batch100 source path already 50ml. Propose size/name correction; retain matching set image.,high,READY_FOR_EXECUTION_REVIEW
ARD-2511,Ana Abiyedh Poudrée / I Am White Poudrée,Poudrée 60ml,Lattafa,60 مل,perfumes,https://www.lattafa.my/perfumes/lattafa/ana-abiyedh-poudree/,official_distributor,2026-08-04,Authoritative: lattafa.my CDN path + bottle etch 60 ml / 2.0 FL.OZ. Corroboration: Lattafa India lists 60ML. Size outcome VERIFIED_60ML.,high,READY_FOR_EXECUTION_REVIEW
