merchant_sku,decision_status,requires_replacement_image,source_evidence_ok,local_asset_path,sha256,mime,width,height,bytes,source_url,source_type,proposed_identity,proposed_size,notes
ARD-2793,READY_FOR_EXECUTION_REVIEW,true,true,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2793.webp,2727DBE666AA59F84799AD31114DE479A5140F5505272711030EA860830DB6C9,image/webp,1200,1200,25646,http://www.timesperfumes.com.au/cdn/shop/files/Fakhar-M-Air-Freshner-Bottle.webp?v=1763812519,reputable_retailer,Fakhar Lattafa Men home air freshener 300ml,300 مل,Can labeled ملطف جو / Air Freshener / e 300 ML; Fakhar Lattafa Pride of Lattafa
ARD-2797,READY_FOR_EXECUTION_REVIEW,true,true,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2797.webp,82D652273DA94ED0CEE4DB637BE6F429B02C2149A5723892F59B2C4EDEB97024,image/webp,1200,1200,23780,https://www.timesperfumes.com.au/cdn/shop/files/Fakhar-W-Air-Freshner-Bottle.webp?v=1763812519,reputable_retailer,Fakhar Lattafa Women home air freshener 300ml,300 مل,Rose-gold can; ملطف جو / Air Freshener 300 ML; Fakhar Lattafa women packaging
ARD-4300,HOLD_NO_VERIFIED_REPLACEMENT,true,false,,,,,,,,,معطر جو بديع العود ابيض 300 مل,300 مل,No verified downloadable 300ml Badee Al Oud White air-freshener packshot after retailer CDN probes; refuse perfume EDP substitute.
ARD-4564,READY_FOR_EXECUTION_REVIEW,true,true,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-4564.webp,120C9873E53A41EBC70F3AE5E8EF23B33921289539356EF0A0B1E0A0924D0541,image/webp,1200,1200,22798,https://www.timesperfumes.com.au/cdn/shop/files/Maahir-Air-Freshner-Bottle.webp?v=1763812519,reputable_retailer,Maahir home air freshener 300ml,300 مل,Black aerosol can with gold MAAHIR horse logo; Air Freshener e 300 ML
ARD-4750,HOLD_NO_VERIFIED_REPLACEMENT,true,false,,,,,,,,,معطر جو اكلاير 300 مل,300 مل,No verified downloadable 300ml Eclaire air-freshener packshot; refuse perfume EDP substitute.
ARD-4751,HOLD_NO_VERIFIED_REPLACEMENT,true,false,,,,,,,,,معطر جو مسمم ابيض 300 مل,300 مل,No verified downloadable 300ml Musamam White air-freshener packshot; refuse perfume EDP substitute.
ARD-4752,READY_FOR_EXECUTION_REVIEW,true,true,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-4752.webp,E0CF56D25300F722C198FD609F1482D1C956AB6893B091FBD44FB446632650F2,image/webp,1200,1200,31664,https://www.eshaistic.pk/wp-content/uploads/2026/07/lattafa-badee-al-oud-noble-blush-air-freshener-300ml.jpg,reputable_retailer,Badee Al Oud Noble Blush home air freshener 300ml,300 مل,Pink can labeled NOBLE BLUSH / BADEE AL OUD / Air Freshener e 300 ML
ARD-4807,HOLD_NO_VERIFIED_REPLACEMENT,true,false,,,,,,,,,معطر جو نبراس 300 مل,300 مل,No verified downloadable 300ml Nebras air-freshener packshot; refuse perfume EDP substitute.
ARD-4792,READY_FOR_EXECUTION_REVIEW,true,true,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-4792.webp,315545ADCF0C8DDF57704E68A8527EBED0C41741988F72E21A6F9065EAD0B89B,image/webp,1200,1200,22830,https://cdn.notinoimg.com/social/lattafa/6290362345527_01-o/musamam-black-intense___260112.jpg,reputable_retailer,Musamam Black Intense EDP 100ml,100 مل,Bottle text MUSAMAM BLACK INTENSE; black glass; black snake — not White Intense
ARD-775,READY_FOR_EXECUTION_REVIEW,true,true,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-775.webp,A662A1D1133ACF0BD35AE1A00D5B4FB423FE20E25CD303BD3C63AF33AB16337A,image/webp,1200,1200,56682,https://www.lattafa.my/cdn/perfumes/lattafa/salamah-by-lattafa-100ml-edp-unisex-perfume-malaysia-1/large/image.jpg,official_distributor,Asdaaf Salamah EDP 100ml (re-identify from Lattafa musk listing),100 مل,Option B: packaging ASDAAF SALAMAH EDP 100ml; no verified Lattafa musk-oil 'مسك السلامه' found (Option A HOLD). Catalog Arabic السلامه matches Salamah.
ARD-823,READY_FOR_EXECUTION_REVIEW,true,true,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-823.webp,708745168955D575C3F24C30799C5DB0D964B5227AEDB5C3956E21A795706160,image/webp,1200,1200,70112,https://www.lattafa.my/cdn/perfumes/lattafa/sheikh-al-shuyukh-lattafa-50ml-edp-men-perfume-malaysia/large/image.jpg,official_distributor,Sheikh Al Shuyukh 50ml EDP + deodorant set,50 مل,Bottle+box print EAU DE PARFUM 50 ML; deodorant included. Batch100 source path already 50ml. Propose size/name correction; retain matching set image.
ARD-2511,READY_FOR_EXECUTION_REVIEW,true,true,docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2511.webp,3DB85A32E124DB200154A9BADBAF2C8A7FEA526052812B820E28A66CD0210950,image/webp,1200,1200,71026,https://www.lattafa.my/cdn/ana-abiyedh-poudree-by-lattafa-60ml-5/large/image.jpg,official_distributor,Ana Abiyedh Poudrée / I Am White Poudrée,60 مل,Authoritative: lattafa.my CDN path + bottle etch 60 ml / 2.0 FL.OZ. Corroboration: Lattafa India lists 60ML. Size outcome VERIFIED_60ML. | size_outcome=VERIFIED_60ML
