merchant_sku,current_text,proposed_text,exact_reason,source_evidence,confidence,char_count,approval_status,decision_status
ARD-1369,عطر عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,106,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-1480,عطر عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,101,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-1858,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية فانيليا أنثوية شهيرة بثبات عالٍ واستخدام يومي.,عطر يارا من لطافة بحجم 100 مل للنساء، برائحة فاكهية وفانيليا بطابع أنثوي ناعم يناسب الاستخدام اليومي.,remove unsupported ثبات عالٍ,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,101,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-2436,عطر عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر سقراط من Lattafa بحجم 100 مل، مخصص للرجال بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,98,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-2583,عطر عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر نجدية تربيوت من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,101,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-3117,عطر عطر انسام سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر انسام سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,99,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-3347,عطر عطر عود نجدية من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Oud ضمن تشكيلة موثّقة.,عطر عود نجدية من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Oud ضمن تشكيلة موثّقة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,133,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-3711,عطر عطر قائد الفرسان انلمتد ابيض 90 مل من Lattafa بحجم 90 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر قائد الفرسان انلمتد ابيض 90 مل من Lattafa بحجم 90 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,118,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-3714,عطر عطر ليام 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر ليام 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,100,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
ARD-4214,عطر عطر عفيف 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Afeef ضمن تشكيلة موثّقة.,عطر عفيف 100 مل من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة ويتميز بطابع Afeef ضمن تشكيلة موثّقة.,remove duplicated عطر,QA defect register 09_DEFECT_REGISTER.csv + Batch100 import CSV,high,137,PROPOSED_PENDING_EXECUTION_AUTH,READY_FOR_EXECUTION_REVIEW
