merchant_sku,field,current_value,proposed_value,severity,issue_type,source_reference,confidence,decision_status,requires_human_approval,production_apply_status
ARD-2793,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2793.webp,local:docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2793.webp,P1,wrong_variant_image,https://www.timesperfumes.com.au/products/fakhar-men-air-freshener-300ml,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-2797,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2797.webp,local:docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-2797.webp,P1,wrong_variant_image,https://www.timesperfumes.com.au/products/fakhar-women-air-freshener-300ml,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-4564,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4564.webp,local:docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-4564.webp,P1,wrong_variant_image,https://www.timesperfumes.com.au/products/maahir-air-freshner-300ml,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-4752,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4752.webp,local:docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-4752.webp,P1,wrong_variant_image,https://www.eshaistic.pk/lattafa-badee-al-oud-noble-blush-air-freshener-300ml/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-4792,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-4792.webp,local:docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-4792.webp,P1,wrong_variant_image,https://www.notino.co.uk/lattafa/musamam-black-intense-eau-de-parfum-unisex/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-775,image_url,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-775.webp,local:docs/product-import/ard-al-khaleej/private-catalog-fix-plan/assets/ARD-775.webp,P1,wrong_brand_image,https://www.lattafa.my/perfumes/lattafa/salamah/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-775,name,عطر مسك السلامه,عطر سلامة من أسداف 100 مل,P1,reidentify_salamah,https://www.lattafa.my/perfumes/lattafa/salamah/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-775,brand,Lattafa,Asdaaf,P1,reidentify_salamah,https://www.lattafa.my/perfumes/lattafa/salamah/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-775,category_slug,musk-oils-mukhammaria,perfumes,P1,reidentify_salamah,https://www.lattafa.my/perfumes/lattafa/salamah/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-775,slug,عطر-مسك-السلامه-ard-775,عطر-سلامة-اسداف-100-مل-ard-775,P1,reidentify_salamah,https://www.lattafa.my/perfumes/lattafa/salamah/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
ARD-775,short_description,زيت عطري / مسك عطر مسك السلامه من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,عطر سلامة من أسداف بحجم 100 مل، أو دو بارفان للجنسين مناسب للاستخدام اليومي والمناسبات.,P1,reidentify_salamah,https://www.lattafa.my/perfumes/lattafa/salamah/,high,READY_FOR_EXECUTION_REVIEW,true,NOT_AUTHORIZED
