merchant_sku,fields,pre_match_ok,response_status,apply_status,notes,execution_status,production_storage_writes,production_db_writes
ARD-1369,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-1480,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-1858,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-2436,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-2511,image_url|sizes,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-2583,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-2793,image_url,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-2797,image_url,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-2932,image_url,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-3117,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-3347,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-3711,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-3714,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4214,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4255,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4256,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4286,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4336,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4564,image_url,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4637,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4660,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4680,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4685,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4686,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4752,image_url,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-4792,image_url,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-5036,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-5058,short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-775,image_url|name|brand|category_slug|slug|short_description,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
ARD-823,image_url|sizes|name,YES,ok,completed,proposed_verified,EXECUTED,YES,YES
