merchant_sku,cohort,image_url,name,brand,sizes,category_slug,slug,short_description,stock,is_active,is_published,visibility_status,match_proposed,execution_status,production_storage_writes,production_db_writes
ARD-92,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-92.webp,عطر شيخ الشيوخ المركز 80 مل,Lattafa,80 مل,perfumes,عطر-شيخ-الشيوخ-المركز-80-مل-ard-92,عطر شيخ الشيوخ المركز من لطافة، بتركيبة عود وعنبر مركّزة بطابع رجالي فاخر يناسب الاستخدام اليومي والمناسبات.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-287,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-287.webp,عطر انا الابيض,Lattafa,100 مل,perfumes,عطر-انا-الابيض-ard-287,عطر أنا الأبيض من لطافة، رائحة مسكية منعشة للجنسين بطابع نظيف وأنيق للاستخدام اليومي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-308,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-308.webp,عطر اختياري,Lattafa,100 مل,perfumes,عطر-اختياري-ard-308,عطر اختياري (إختياري) من لطافة، عطر فاكهي عطري للجنسين بطابع منعش يناسب الاستخدام اليومي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-309,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-309.webp,عطر وشوشه,Lattafa,100 مل,perfumes,عطر-وشوشه-ard-309,عطر وشوشة من لطافة للنساء، بتركيبة زهرية فاكهية ناعمة تناسب الإطلالة اليومية والمناسبات.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-310,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-310.webp,عطر رغبه رجالي,Lattafa,100 مل,perfumes,عطر-رغبه-رجالي-ard-310,عطر رغبة الرجالي من لطافة، بطابع حلو دخاني رجالي يناسب الاستخدام اليومي والمساء.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-311,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-311.webp,عطر رمز لطافه فضي,Lattafa,100 مل,perfumes,عطر-رمز-لطافه-فضي-ard-311,عطر رمز لطافة الفضي من لطافة للرجال، بتركيبة منعشة حارة بطابع عصري واضح.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-312,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-312.webp,عطر اعجازي لطافة,Lattafa,90 مل,perfumes,عطر-اعجازي-لطافة-ard-312,عطر إعجازي من لطافة للرجال، بتركيبة عطرية خشبية بطابع قوي يناسب الحضور اليومي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-463,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-463.webp,عطر روعة العود,Lattafa,100 مل,perfumes,عطر-روعة-العود-ard-463,عطر روعة العود من لطافة، بتركيبة عود خشبية فاخرة للجنسين تناسب الأمسيات والمناسبات.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-465,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-465.webp,عطر قمة النساء,Lattafa,100 مل,perfumes,عطر-قمة-النساء-ard-465,عطر قمة للنساء من لطافة، بتركيبة غورماند زهرية بطابع أنثوي جذاب للاستخدام اليومي والمساء.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-466,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-466.webp,عطر رغبه للنساء,Lattafa,100 مل,perfumes,عطر-رغبه-للنساء-ard-466,عطر رغبة من لطافة، بتركيبة شرقية حلوة بطابع أنثوي جذاب يناسب الاستخدام اليومي والمناسبات.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-467,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-467.webp,عطر مسك مود,Lattafa,100 مل,musk-oils-mukhammaria,عطر-مسك-مود-ard-467,عطر مسك مود من لطافة بحجم 100 مل، بطابع مسكي ناعم مناسب للاستخدام اليومي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-479,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-479.webp,عطر قمة رجالي,Lattafa,100 مل,perfumes,عطر-قمة-رجالي-ard-479,عطر قمة الرجالي من لطافة، بتركيبة خشبية حارة بطابع رجالي قوي يناسب الحضور اليومي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-663,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-663.webp,عطر انا الابيض روج,Lattafa,100 مل,perfumes,عطر-انا-الابيض-روج-ard-663,عطر أنا الأبيض روج من لطافة، إصدار أحمر بتركيبة فاكهية زهرية للجنسين بطابع حيوي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-715,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-715.webp,عطر رمز لطافه ذهبي,Lattafa,100 مل,perfumes,عطر-رمز-لطافه-ذهبي-ard-715,عطر رمز لطافة الذهبي من لطافة، بتركيبة زهرية شرقية بطابع فاخر يناسب الاستخدام اليومي والمناسبات.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-766,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-766.webp,عطر اوراق العود,Lattafa,100 مل,perfumes,عطر-اوراق-العود-ard-766,عطر أوراق العود من لطافة، بتركيبة عود خشبية رجالية بطابع شرقي أصيل.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-775,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-775.webp,عطر سلامة من أسداف 100 مل,Asdaaf,100 مل,perfumes,عطر-سلامة-اسداف-100-مل-ard-775,عطر سلامة من أسداف بحجم 100 مل، أو دو بارفان للجنسين مناسب للاستخدام اليومي والمناسبات.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-823,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-823.webp,عطر شيخ الشيوخ 50 مل مع مزيل عرق,Lattafa,50 مل,perfumes,عطر-شيخ-الشيوخ-ard-823,عطر شيخ الشيوخ من لطافة، بتركيبة عود وعنبر رجالية كلاسيكية بطابع فاخر وثابت.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-957,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-957.webp,عطر 24 قيراط ذهبي,Lattafa,100 مل,perfumes,عطر-24-قيراط-ذهبي-ard-957,عطر 24 قيراط الذهبي من لطافة، بتركيبة عود وعنبر وفانيليا فاخرة للجنسين.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-958,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-958.webp,عطر 24 قيراط سلفر,Lattafa,100 مل,perfumes,عطر-24-قيراط-سلفر-ard-958,عطر 24 قيراط الأبيض/السلفر من لطافة، بتركيبة عنبرية خشبية أنيقة للجنسين.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-959,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-959.webp,عطر نجدية,Lattafa,100 مل,perfumes,عطر-نجدية-ard-959,عطر نجدية من لطافة للرجال، بتركيبة منعشة حارة بطابع يومي واضح وثابت.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-970,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-970.webp,عطر قائد الفرسان,Lattafa,90 مل,perfumes,عطر-قائد-الفرسان-ard-970,عطر قائد الفرسان من لطافة، بتركيبة حلوة دخانية رجالية بطابع جريء وثابت.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1015,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/8e6cb0f4-9409-45fb-a218-dbcf0e176c8a.webp,عطر فلفت عود,Lattafa,100 مل,perfumes,عطر-فلفت-عود-ard-1015,عطر شرقي خشبي للجنسين بحجم 100 مل من لطافة، يجمع لمسات التوابل والجلد والعود والعنبر في طابع دافئ ومتوازن.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1042,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/831383ab-171b-4d13-8a74-15f814ed4811.webp,عطر ليل ملكي,Lattafa,100 مل,perfumes,عطر-ليل-ملكي-ard-1042,عطر كهرماني للجنسين بحجم 100 مل من لطافة، بطابع فاكهي متبّل وزهري يستقر على قاعدة دافئة من خشب الصندل والعنبر.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1065,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/28d0628b-261a-4bf4-9213-bb66b44b62fd.webp,عود مود الكسير,Lattafa,100 مل,perfumes,عود-مود-الكسير-ard-1065,عطر شرقي بحجم 100 مل من لطافة، يبرز فيه العود والزعفران والتوابل مع قاعدة دافئة من الفانيليا والعنبر.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1172,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/8ffe2ecd-1f1d-4744-af08-f7c84b84dfb1.webp,عطر فخر لطافة رجالي,Lattafa,100 مل,perfumes,عطر-فخر-لطافة-رجالي-ard-1172,عطر رجالي بحجم 100 مل من لطافة، بطابع منعش وخشبي يبدأ بالبرغموت واللمسات البحرية ويتدرج إلى البنفسج والعنبر والباتشولي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1173,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/e41e9ee8-948b-46ba-92c2-97c1626337d2.webp,عطر فخر لطافة نسائي,Lattafa,100 مل,perfumes,عطر-فخر-لطافة-نسائي-ard-1173,عطر نسائي بحجم 100 مل من لطافة، بتركيبة زهرية بيضاء تبدأ بزهر البرتقال وتجمع مسك الروم والياسمين على قاعدة من نجيل الهند والباتشولي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1191,ard_1191,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/820ac999-dddf-4921-9b8b-6bbe6de17489.webp,عطر عود مود ذهبي,Lattafa,100 مل,perfumes,عطر-عود-مود-ذهبي-ard-1191,,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1318,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,30 مل الشموخ,Lattafa,30 مل,mini-travel-perfume,30-مل-الشموخ-ard-1318,عطر الشموخ من لطافة بحجم 30 مل ضمن مجموعة ثمين، برائحة شرقية حارة وخشبية دافئة، مثالي للسفر والاستخدام اليومي بحجم ميني عملي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1319,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,30 مل ثراء,Lattafa,30 مل,mini-travel-perfume,30-مل-ثراء-ard-1319,عطر ثراء من لطافة بحجم 30 مل من مجموعة ثمين، بتركيبة زهرية دافئة مع لمسات خشبية، حجم ميني مناسب للسفر والاستخدام اليومي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1320,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,30 مل معالي,Lattafa,30 مل,mini-travel-perfume,30-مل-معالي-ard-1320,عطر معالي من لطافة بحجم 30 مل ضمن مجموعة ثمين، بافتتاحية حمضية وقلب زهري ناعم، حجم ميني عملي للسفر والاستخدام اليومي.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1369,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,عطر الدر المكنون سلفر,Lattafa,100 مل,perfumes,عطر-الدر-المكنون-سلفر-ard-1369,عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-1430,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1430.webp,عطر امير العود / انتنس عود,Lattafa,100 مل,perfumes,عطر-امير-العود-انتنس-عود-ard-1430,عطر أمير العود إنتنس عود من لطافة بحجم 100 مل، بطابع عودي دخاني ثابت.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
ARD-1480,affected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1480.webp,عطر عود ليل ملكي,Lattafa,100 مل,perfumes,عطر-عود-ليل-ملكي-ard-1480,عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,0,false,false,private,YES,EXECUTED,YES,YES
ARD-1826,unaffected,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/05a87475-ba64-48d5-a5a9-5252552b7563.webp,عطر ناو اسود,RAVE,100 مل,perfumes,عطر-ناو-اسود-ard-1826,عطر رجالي بحجم 100 مل من RAVE، يبدأ بالفواكه والبرغموت ويتدرج إلى قلب زهري خشبي وقاعدة من المسك والفانيليا وطحلب البلوط.,0,false,false,private,N/A_BASELINE_EXACT,EXECUTED,YES,YES
