merchant_sku,product_id,merchant_id,name,slug,brand,sizes,price,category_slug,image_url,short_description,description,stock,is_active,is_published,visibility_status,discount_price,cohort,short_char_count,description_present
ARD-1015,757682dd-475a-461b-bd50-326219e5dbad,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,عطر فلفت عود,عطر-فلفت-عود-ard-1015,Lattafa,100 مل,23000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/8e6cb0f4-9409-45fb-a218-dbcf0e176c8a.webp,عطر شرقي خشبي للجنسين بحجم 100 مل من لطافة، يجمع لمسات التوابل والجلد والعود والعنبر في طابع دافئ ومتوازن.,يفتتح فيلفيت عود بالهيل والبرغموت، ثم ينتقل إلى قلب من أوراق البنفسج والباتشولي. وتستقر تركيبته على الجلد والعود والعنبر والمسك وطحلب البلوط، لتقدم رائحة شرقية خشبية لمن يفضلون الطابع الدافئ.,0,false,false,private,,golden10,106,true
ARD-1042,5f8acc35-0fd9-43bc-ae4b-e184cd3f2b39,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,عطر ليل ملكي,عطر-ليل-ملكي-ard-1042,Lattafa,100 مل,15000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/831383ab-171b-4d13-8a74-15f814ed4811.webp,عطر كهرماني للجنسين بحجم 100 مل من لطافة، بطابع فاكهي متبّل وزهري يستقر على قاعدة دافئة من خشب الصندل والعنبر.,تبدأ تركيبة ليل ملكي بالأناناس والألدهيدات والقرفة، ثم تنتقل إلى قلب زهري من الورد والياسمين، وتستقر على قاعدة من خشب الصندل والعنبر. توليفة تجمع الانتعاش الفاكهي والدفء المتبّل في عطر واحد.,0,false,false,private,,golden10,110,true
ARD-1065,61ed019c-8bca-496d-b65a-ddc182d1192b,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,عود مود الكسير,عود-مود-الكسير-ard-1065,Lattafa,100 مل,19000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/28d0628b-261a-4bf4-9213-bb66b44b62fd.webp,عطر شرقي بحجم 100 مل من لطافة، يبرز فيه العود والزعفران والتوابل مع قاعدة دافئة من الفانيليا والعنبر.,يفتتح عود مود إليكسير بجوزة الطيب والقرفة والزعفران، ثم يظهر في القلب خشب الصندل والعود والجلد. وتكتمل التركيبة بقاعدة دافئة من الفانيليا والعنبر، بطابع شرقي خشبي ومتبل.,0,false,false,private,,golden10,101,true
ARD-1172,e0f66058-d532-4b41-a14b-6ba88bdf9d37,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,عطر فخر لطافة رجالي,عطر-فخر-لطافة-رجالي-ard-1172,Lattafa,100 مل,24000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/8ffe2ecd-1f1d-4744-af08-f7c84b84dfb1.webp,عطر رجالي بحجم 100 مل من لطافة، بطابع منعش وخشبي يبدأ بالبرغموت واللمسات البحرية ويتدرج إلى البنفسج والعنبر والباتشولي.,يفتتح فخر لطافة الرجالي بالبرغموت والسوسن واللمسات البحرية، ثم ينتقل إلى قلب من البنفسج والعنبر. وتستقر تركيبته على طحلب البلوط والباتشولي، لتقدم طابعاً رجولياً منعشاً وخشبياً.,0,false,false,private,,golden10,119,true
ARD-1173,dc7e7453-661b-4058-8eb9-9dfcf6c3e8c4,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,عطر فخر لطافة نسائي,عطر-فخر-لطافة-نسائي-ard-1173,Lattafa,100 مل,24000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/e41e9ee8-948b-46ba-92c2-97c1626337d2.webp,عطر نسائي بحجم 100 مل من لطافة، بتركيبة زهرية بيضاء تبدأ بزهر البرتقال وتجمع مسك الروم والياسمين على قاعدة من نجيل الهند والباتشولي.,تبدأ تركيبة فخر لطافة النسائي بزهر البرتقال، ثم تتفتح في القلب نفحات مسك الروم والياسمين. وتستقر على قاعدة من نجيل الهند والباتشولي، بطابع زهري أنثوي واضح.,0,false,false,private,,golden10,132,true
ARD-1191,8d07851c-392a-404c-b9eb-91a6004dc16d,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,عطر عود مود ذهبي,عطر-عود-مود-ذهبي-ard-1191,Lattafa,100 مل,19000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/820ac999-dddf-4921-9b8b-6bbe6de17489.webp,,,0,false,false,private,,golden10,0,false
ARD-1318,19083415-2b0d-4367-bbd6-f793baccbc8c,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,30 مل الشموخ,30-مل-الشموخ-ard-1318,Lattafa,30 مل,7000,mini-travel-perfume,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,عطر الشموخ من لطافة بحجم 30 مل ضمن مجموعة ثمين، برائحة شرقية حارة وخشبية دافئة، مثالي للسفر والاستخدام اليومي بحجم ميني عملي.,"عائلة عطرية: Sweet Spicy / Oriental | المقدمة: Spicy floral | القلب: Spicy | القاعدة: Balsamic vanilla, amber, woody",0,false,false,private,,batch100,125,true
ARD-1319,ea508cf2-b502-4e2e-aa62-f8f6815f29c1,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,30 مل ثراء,30-مل-ثراء-ard-1319,Lattafa,30 مل,7000,mini-travel-perfume,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,عطر ثراء من لطافة بحجم 30 مل من مجموعة ثمين، بتركيبة زهرية دافئة مع لمسات خشبية، حجم ميني مناسب للسفر والاستخدام اليومي.,"عائلة عطرية: Floral Woody | المقدمة: Allspice, purple freesia | القلب: Heliotrope, jasmine, hibiscus, Bulgarian rose | القاعدة: Himalayan cedar, warm skin accord, sandalwood, incense",0,false,false,private,,batch100,120,true
ARD-1320,f550ffae-8e84-4cd6-af3d-726db00d0c05,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,30 مل معالي,30-مل-معالي-ard-1320,Lattafa,30 مل,7000,mini-travel-perfume,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,عطر معالي من لطافة بحجم 30 مل ضمن مجموعة ثمين، بافتتاحية حمضية وقلب زهري ناعم، حجم ميني عملي للسفر والاستخدام اليومي.,"عائلة عطرية: Citrus Floral | المقدمة: Fresh citrus | القلب: Magnolia, honeysuckle, raspberry | القاعدة: Cashmere wood, amber, musk",0,false,false,private,,batch100,117,true
ARD-1369,44b6769e-1fa7-4eff-aee0-6aaeaa359f09,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7,عطر الدر المكنون سلفر,عطر-الدر-المكنون-سلفر-ard-1369,Lattafa,100 مل,12000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,عطر عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.,,0,false,false,private,,batch100,110,false
