merchant_sku,cohort,exact_match,mismatch_fields,automated_check_status
ARD-1015,golden10,true,,PASS
ARD-1042,golden10,true,,PASS
ARD-1065,golden10,true,,PASS
ARD-1172,golden10,true,,PASS
ARD-1173,golden10,true,,PASS
ARD-1191,golden10,true,,PASS
ARD-1318,batch100,true,,PASS
ARD-1319,batch100,true,,PASS
ARD-1320,batch100,true,,PASS
ARD-1369,batch100,true,,PASS
ARD-1430,batch100,true,,PASS
ARD-1480,batch100,true,,PASS
ARD-1826,golden10,true,,PASS
ARD-1858,batch100,true,,PASS
ARD-2126,batch100,true,,PASS
ARD-2423,batch100,true,,PASS
ARD-2436,batch100,true,,PASS
ARD-2437,batch100,true,,PASS
ARD-2471,batch100,true,,PASS
ARD-2493,batch100,true,,PASS
ARD-2494,batch100,true,,PASS
ARD-2511,batch100,true,,PASS
ARD-2512,batch100,true,,PASS
ARD-2515,batch100,true,,PASS
ARD-2583,batch100,true,,PASS
ARD-2648,batch100,true,,PASS
ARD-2745,batch100,true,,PASS
ARD-2753,batch100,true,,PASS
ARD-2760,batch100,true,,PASS
ARD-2765,batch100,true,,PASS
ARD-2773,batch100,true,,PASS
ARD-2793,batch100,true,,PASS
ARD-2797,batch100,true,,PASS
ARD-2800,golden10,true,,PASS
ARD-287,batch100,true,,PASS
ARD-2876,batch100,true,,PASS
ARD-2879,batch100,true,,PASS
ARD-2932,batch100,true,,PASS
ARD-2933,batch100,true,,PASS
ARD-308,batch100,true,,PASS
ARD-309,batch100,true,,PASS
ARD-310,batch100,true,,PASS
ARD-311,batch100,true,,PASS
ARD-3117,batch100,true,,PASS
ARD-312,batch100,true,,PASS
ARD-3149,batch100,true,,PASS
ARD-3240,batch100,true,,PASS
ARD-3242,batch100,true,,PASS
ARD-3244,batch100,true,,PASS
ARD-3245,batch100,true,,PASS
ARD-3260,batch100,true,,PASS
ARD-3270,golden10,true,,PASS
ARD-3274,batch100,true,,PASS
ARD-3347,batch100,true,,PASS
ARD-3349,batch100,true,,PASS
ARD-3350,batch100,true,,PASS
ARD-3351,batch100,true,,PASS
ARD-3352,batch100,true,,PASS
ARD-3353,batch100,true,,PASS
ARD-3531,batch100,true,,PASS
ARD-3536,batch100,true,,PASS
ARD-3627,batch100,true,,PASS
ARD-3628,batch100,true,,PASS
ARD-3709,batch100,true,,PASS
ARD-3710,batch100,true,,PASS
ARD-3711,batch100,true,,PASS
ARD-3712,batch100,true,,PASS
ARD-3714,batch100,true,,PASS
ARD-3723,golden10,true,,PASS
ARD-3897,batch100,true,,PASS
ARD-4138,batch100,true,,PASS
ARD-4214,batch100,true,,PASS
ARD-4215,batch100,true,,PASS
ARD-4246,batch100,true,,PASS
ARD-4255,batch100,true,,PASS
ARD-4256,batch100,true,,PASS
ARD-4273,batch100,true,,PASS
ARD-4286,batch100,true,,PASS
ARD-4300,batch100,true,,PASS
ARD-4336,batch100,true,,PASS
ARD-4564,batch100,true,,PASS
ARD-463,batch100,true,,PASS
ARD-4637,batch100,true,,PASS
ARD-465,batch100,true,,PASS
ARD-466,batch100,true,,PASS
ARD-4660,batch100,true,,PASS
ARD-4664,batch100,true,,PASS
ARD-467,batch100,true,,PASS
ARD-4680,batch100,true,,PASS
ARD-4685,batch100,true,,PASS
ARD-4686,batch100,true,,PASS
ARD-4750,batch100,true,,PASS
ARD-4751,batch100,true,,PASS
ARD-4752,batch100,true,,PASS
ARD-4770,batch100,true,,PASS
ARD-479,batch100,true,,PASS
ARD-4792,batch100,true,,PASS
ARD-4807,batch100,true,,PASS
ARD-5036,batch100,true,,PASS
ARD-5058,batch100,true,,PASS
ARD-663,batch100,true,,PASS
ARD-715,batch100,true,,PASS
ARD-766,batch100,true,,PASS
ARD-775,batch100,true,,PASS
ARD-823,batch100,true,,PASS
ARD-92,batch100,true,,PASS
ARD-957,batch100,true,,PASS
ARD-958,batch100,true,,PASS
ARD-959,batch100,true,,PASS
ARD-970,batch100,true,,PASS
