merchant_sku,product_id,name,brand,sizes,price,category_slug,image_url,cohort,automated_check_status,identity_status_seed,visual_check_status,reviewer_decision,overall_status,reviewed_at,evidence_reference,notes
ARD-1015,757682dd-475a-461b-bd50-326219e5dbad,عطر فلفت عود,Lattafa,100 مل,23000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/8e6cb0f4-9409-45fb-a218-dbcf0e176c8a.webp,golden10,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-1042,5f8acc35-0fd9-43bc-ae4b-e184cd3f2b39,عطر ليل ملكي,Lattafa,100 مل,15000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/831383ab-171b-4d13-8a74-15f814ed4811.webp,golden10,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-1065,61ed019c-8bca-496d-b65a-ddc182d1192b,عود مود الكسير,Lattafa,100 مل,19000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/28d0628b-261a-4bf4-9213-bb66b44b62fd.webp,golden10,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-1172,e0f66058-d532-4b41-a14b-6ba88bdf9d37,عطر فخر لطافة رجالي,Lattafa,100 مل,24000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/8ffe2ecd-1f1d-4744-af08-f7c84b84dfb1.webp,golden10,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-1173,dc7e7453-661b-4058-8eb9-9dfcf6c3e8c4,عطر فخر لطافة نسائي,Lattafa,100 مل,24000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/e41e9ee8-948b-46ba-92c2-97c1626337d2.webp,golden10,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable
ARD-1191,8d07851c-392a-404c-b9eb-91a6004dc16d,عطر عود مود ذهبي,Lattafa,100 مل,19000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/820ac999-dddf-4921-9b8b-6bbe6de17489.webp,golden10,PASS,KNOWN_HOLD,PASS,KNOWN_HOLD,KNOWN_HOLD,2026-08-04T15:47:38.947Z,images/ARD-1191.webp,Oud Mood packaging visible; content empty intentionally; identity HOLD remains
ARD-1318,19083415-2b0d-4367-bbd6-f793baccbc8c,30 مل الشموخ,Lattafa,30 مل,7000,mini-travel-perfume,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,mini-travel-perfume + 30 مل verified in data; packaging family consistent
ARD-1319,ea508cf2-b502-4e2e-aa62-f8f6815f29c1,30 مل ثراء,Lattafa,30 مل,7000,mini-travel-perfume,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,mini-travel-perfume + 30 مل verified in data; packaging family consistent
ARD-1320,f550ffae-8e84-4cd6-af3d-726db00d0c05,30 مل معالي,Lattafa,30 مل,7000,mini-travel-perfume,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,batch100,PASS,PASS,PASS,PASS,PASS,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,mini-travel-perfume + 30 مل verified in data; packaging family consistent
ARD-1369,44b6769e-1fa7-4eff-aee0-6aaeaa359f09,عطر الدر المكنون سلفر,Lattafa,100 مل,12000,perfumes,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,batch100,PASS,PASS,PASS,PASS,FAIL_P2,2026-08-04T15:47:38.947Z,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register
