merchant_sku,image_url,visual_check_status,identity_status,overall_status,notes,evidence_reference
ARD-1015,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/8e6cb0f4-9409-45fb-a218-dbcf0e176c8a.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1042,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/831383ab-171b-4d13-8a74-15f814ed4811.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1065,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/28d0628b-261a-4bf4-9213-bb66b44b62fd.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1172,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/8ffe2ecd-1f1d-4744-af08-f7c84b84dfb1.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1173,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/e41e9ee8-948b-46ba-92c2-97c1626337d2.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1191,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/820ac999-dddf-4921-9b8b-6bbe6de17489.webp,PASS,KNOWN_HOLD,KNOWN_HOLD,Oud Mood packaging visible; content empty intentionally; identity HOLD remains,images/ARD-1191.webp
ARD-1318,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1318.webp,PASS,PASS,PASS,mini-travel-perfume + 30 مل verified in data; packaging family consistent,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1319,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1319.webp,PASS,PASS,PASS,mini-travel-perfume + 30 مل verified in data; packaging family consistent,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1320,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1320.webp,PASS,PASS,PASS,mini-travel-perfume + 30 مل verified in data; packaging family consistent,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1369,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1369.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1430,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1430.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1480,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1480.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1826,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/products/05a87475-ba64-48d5-a5a9-5252552b7563.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-1858,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-1858.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-2126,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2126.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-2423,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2423.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-2436,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2436.webp,PASS,PASS,FAIL_P2,Contact-sheet + automated exact-match review; product packshot acceptable; content P2 (awkward Arabic / claims) — see defect register,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
ARD-2437,https://ztplxqlthuqkuktbznbo.supabase.co/storage/v1/object/public/products/ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/ARD-2437.webp,PASS,PASS,PASS,Contact-sheet + automated exact-match review; product packshot acceptable,review/PRIVATE_CATALOG_CONTACT_SHEET_01.png
