merchant_sku,cohort,short_char_count,detailed_present,content_flags,short_preview
ARD-1015,golden10,106,true,,عطر شرقي خشبي للجنسين بحجم 100 مل من لطافة، يجمع لمسات التوابل والجلد والعود والعنبر في طابع دافئ ومتوازن.
ARD-1042,golden10,110,true,,عطر كهرماني للجنسين بحجم 100 مل من لطافة، بطابع فاكهي متبّل وزهري يستقر على قاعدة دافئة من خشب الصندل والعنبر.
ARD-1065,golden10,101,true,,عطر شرقي بحجم 100 مل من لطافة، يبرز فيه العود والزعفران والتوابل مع قاعدة دافئة من الفانيليا والعنبر.
ARD-1172,golden10,119,true,,عطر رجالي بحجم 100 مل من لطافة، بطابع منعش وخشبي يبدأ بالبرغموت واللمسات البحرية ويتدرج إلى البنفسج والعنبر والباتشولي.
ARD-1173,golden10,132,true,,عطر نسائي بحجم 100 مل من لطافة، بتركيبة زهرية بيضاء تبدأ بزهر البرتقال وتجمع مسك الروم والياسمين على قاعدة من نجيل الهند
ARD-1191,golden10,0,false,,
ARD-1318,batch100,125,true,,عطر الشموخ من لطافة بحجم 30 مل ضمن مجموعة ثمين، برائحة شرقية حارة وخشبية دافئة، مثالي للسفر والاستخدام اليومي بحجم ميني 
ARD-1319,batch100,120,true,,عطر ثراء من لطافة بحجم 30 مل من مجموعة ثمين، بتركيبة زهرية دافئة مع لمسات خشبية، حجم ميني مناسب للسفر والاستخدام اليومي.
ARD-1320,batch100,117,true,,عطر معالي من لطافة بحجم 30 مل ضمن مجموعة ثمين، بافتتاحية حمضية وقلب زهري ناعم، حجم ميني عملي للسفر والاستخدام اليومي.
ARD-1369,batch100,110,false,repeated_itr,عطر عطر الدر المكنون سلفر من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-1430,batch100,69,false,,عطر أمير العود إنتنس عود من لطافة بحجم 100 مل، بطابع عودي دخاني ثابت.
ARD-1480,batch100,105,false,repeated_itr,عطر عطر عود ليل ملكي من Lattafa بحجم 100 مل، للجنسين بطابع عطري عربي واضح مناسب لليومي والمناسبات الخاصة.
ARD-1826,golden10,120,true,,عطر رجالي بحجم 100 مل من RAVE، يبدأ بالفواكه والبرغموت ويتدرج إلى قلب زهري خشبي وقاعدة من المسك والفانيليا وطحلب البلوط.
