merchant_sku,price,discount_price,category_slug,category_active,category_is_root,child_count,price_ok,leaf_ok
ARD-1015,23000,,perfumes,true,false,0,true,true
ARD-1042,15000,,perfumes,true,false,0,true,true
ARD-1065,19000,,perfumes,true,false,0,true,true
ARD-1172,24000,,perfumes,true,false,0,true,true
ARD-1173,24000,,perfumes,true,false,0,true,true
ARD-1191,19000,,perfumes,true,false,0,true,true
ARD-1318,7000,,mini-travel-perfume,true,false,0,true,true
ARD-1319,7000,,mini-travel-perfume,true,false,0,true,true
ARD-1320,7000,,mini-travel-perfume,true,false,0,true,true
ARD-1369,12000,,perfumes,true,false,0,true,true
ARD-1430,18000,,perfumes,true,false,0,true,true
ARD-1480,15000,,perfumes,true,false,0,true,true
ARD-1826,20000,,perfumes,true,false,0,true,true
ARD-1858,30000,,perfumes,true,false,0,true,true
ARD-2126,35000,,perfumes,true,false,0,true,true
ARD-2423,18000,,perfumes,true,false,0,true,true
ARD-2436,18000,,perfumes,true,false,0,true,true
ARD-2437,15000,,perfumes,true,false,0,true,true
ARD-2471,16000,,perfumes,true,false,0,true,true
ARD-2493,19000,,perfumes,true,false,0,true,true
ARD-2494,20000,,perfumes,true,false,0,true,true
ARD-2511,18000,,perfumes,true,false,0,true,true
ARD-2512,15000,,perfumes,true,false,0,true,true
ARD-2515,16000,,perfumes,true,false,0,true,true
ARD-2583,14000,,perfumes,true,false,0,true,true
ARD-2648,14000,,perfumes,true,false,0,true,true
ARD-2745,19000,,perfumes,true,false,0,true,true
ARD-2753,14000,,perfumes,true,false,0,true,true
ARD-2760,30000,,perfumes,true,false,0,true,true
ARD-2765,14000,,perfumes,true,false,0,true,true
ARD-2773,19000,,perfumes,true,false,0,true,true
ARD-2793,3000,,home-linen-air,true,false,0,true,true
ARD-2797,3000,,home-linen-air,true,false,0,true,true
ARD-2800,20000,,perfumes,true,false,0,true,true
ARD-287,18000,,perfumes,true,false,0,true,true
ARD-2876,15000,,perfumes,true,false,0,true,true
ARD-2879,40000,,perfumes,true,false,0,true,true
ARD-2932,13000,,perfumes,true,false,0,true,true
ARD-2933,16000,,perfumes,true,false,0,true,true
ARD-308,12000,,perfumes,true,false,0,true,true
ARD-309,15000,,perfumes,true,false,0,true,true
ARD-310,14000,,perfumes,true,false,0,true,true
ARD-311,17000,,perfumes,true,false,0,true,true
ARD-3117,45000,,perfumes,true,false,0,true,true
ARD-312,15000,,perfumes,true,false,0,true,true
ARD-3149,30000,,perfumes,true,false,0,true,true
ARD-3240,30000,,perfumes,true,false,0,true,true
ARD-3242,30000,,perfumes,true,false,0,true,true
ARD-3244,27000,,perfumes,true,false,0,true,true
ARD-3245,30000,,perfumes,true,false,0,true,true
ARD-3260,35000,,perfumes,true,false,0,true,true
ARD-3270,16000,,perfumes,true,false,0,true,true
ARD-3274,45000,,perfumes,true,false,0,true,true
ARD-3347,14000,,perfumes,true,false,0,true,true
ARD-3349,26000,,perfumes,true,false,0,true,true
ARD-3350,23000,,perfumes,true,false,0,true,true
ARD-3351,19000,,perfumes,true,false,0,true,true
