category_slug,category_name_ar,allowed,source
body-bath-care,العناية بالجسم والاستحمام,YES,02_FULL_CATALOG_CLASSIFICATION
body-mist-splash,معطرات الجسم والبودي مست,YES,02_FULL_CATALOG_CLASSIFICATION
hair-care-fragrance,العناية بالشعر وعطور الشعر,YES,02_FULL_CATALOG_CLASSIFICATION
home-linen-air,معطرات المنزل والمفارش والجو,YES,02_FULL_CATALOG_CLASSIFICATION
incense-maamoul,البخور والمعمول,YES,02_FULL_CATALOG_CLASSIFICATION
mini-travel-perfume,العطور الصغيرة والميني,YES,02_FULL_CATALOG_CLASSIFICATION
musk-oils-mukhammaria,المسك والمخمريات والعطور الزيتية,YES,02_FULL_CATALOG_CLASSIFICATION
perfumes,العطور,YES,02_FULL_CATALOG_CLASSIFICATION
powder-makeup,البودرة ومنتجات التجميل,YES,02_FULL_CATALOG_CLASSIFICATION
pro-hair-color-care,صبغة ومستلزمات صالون للشعر,YES,02_FULL_CATALOG_CLASSIFICATION
