batch_id,source_row_number,merchant_sku,normalized_name,slug,category,brand,size,price_source_status,image_source,normalized_image_path,image_sha256,validation_status,rejection_reason
batch001,2,ARD-3812,لوشن سيف الفارس بابايا ليمون 500 مل,لوشن-سيف-الفارس-بابايا-ليمون-500-مل-ard-3812,body-bath-care,Saif Al Fares,500 مل,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3812.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3812-EFBCE88F.webp,EFBCE88F2FC3CFEACF6FE5EB1D72837CE9D4C7F958B4ED32CB282656EA462377,READY,
batch001,3,ARD-3813,لوشن سيف الفارس كاكاو وصويا 500 مل,لوشن-سيف-الفارس-كاكاو-وصويا-500-مل-ard-3813,body-bath-care,Saif Al Fares,500 مل,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3813.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3813-F475E139.webp,F475E13970A47E36528A34AC3922A185D2AE3C14C54B8E07E3FA59980EEDE155,READY,
batch001,4,ARD-3814,لوشن سيف الفارس ألوفيرا بلو بيري 500 مل,لوشن-سيف-الفارس-ألوفيرا-بلو-بيري-500-مل-ard-3814,body-bath-care,Saif Al Fares,500 مل,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3814.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3814-01206D51.webp,01206D514937745EB640A09F440913E0C91ACD2C633A98AD1AD2FAF2E993BBCE,READY,
batch001,6,ARD-3816,لوشن سيف الفارس ماء ورد لوز 500 مل,لوشن-سيف-الفارس-ماء-ورد-لوز-500-مل-ard-3816,body-bath-care,Saif Al Fares,500 مل,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3816.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3816-CF6E6098.webp,CF6E6098CEAB2A7DE93F1307BAFD5906F569BA4824D4189230997C5A887E3905,READY,
batch001,7,ARD-3819,شاور جل سنسيت بردايس,شاور-جل-سنسيت-بردايس-ard-3819,body-bath-care,Saif Al Fares,,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3819.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3819-142E3B1F.webp,142E3B1F4C379868CC55E2E0AE41C8E4C7BF52499A89CF31E6CC31241F3BD2F0,READY,
batch001,8,ARD-3820,شاور جل رومانتك وايت تي,شاور-جل-رومانتك-وايت-تي-ard-3820,body-bath-care,Saif Al Fares,,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3820.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3820-E960190E.webp,E960190E539BEBB5E0E5E63BD79415AED1FFBC0834B06B03EA366DD95F2020B6,READY,
batch001,9,ARD-3821,شاور جل برتي بلوسوم,شاور-جل-برتي-بلوسوم-ard-3821,body-bath-care,Saif Al Fares,,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3821.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3821-D47DDE9A.webp,D47DDE9AE66C803E0C48977F3B2DB94EFE284E74D8EF710CB53C58DB785C9184,READY,
batch001,10,ARD-3822,شاور جل كاونتري كرين تي,شاور-جل-كاونتري-كرين-تي-ard-3822,body-bath-care,Saif Al Fares,,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3822.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3822-C6A3EE15.webp,C6A3EE15F261E4D073075680EB33A85C8BEC28C4C91DA71F2AEEE5F486C92CA5,READY,
batch001,11,ARD-3823,شاور جل بيونس كاردن,شاور-جل-بيونس-كاردن-ard-3823,body-bath-care,Saif Al Fares,,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3823.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3823-D861D35A.webp,D861D35A5BA3E8BA8EDC058A0C601015F0E7304A41232D07547872AD00BE2DD6,READY,
batch001,14,ARD-3828,عطر اكوا شهامه الورد 100 مل,عطر-اكوا-شهامه-الورد-100-مل-ard-3828,perfumes,Saif Al Fares,100 مل,VALID,.tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-3828.webp,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-3828-16588BAD.webp,16588BAD51F1876E045858F0759870ED71202C250CBB25A5DA99AF694705CC08,READY,
