priority,merchant_sku,product_name,source_product_url,image_source_url,source_type,identity_match,review_status,downloaded_at,normalized_file,mime,width,height,bytes,sha256,notes
1,ARD-1684,"عطر جنية",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-1684.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-1684.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-1684-B01AED97.webp,image/webp,1200,1200,50000,B01AED9759A8DAECD46BEBB8894F8F2C346E04D9E230628FB87DE85DE1F9E5EB,"ARD-1684.jpg"
2,ARD-2144,"عطر اساطير رجال",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2144.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2144.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2144-F26B3ECC.webp,image/webp,1200,1200,50000,F26B3ECC4FFC3149D326985CE7936092A8301999268E894CBF3596FCBDE84B2D,"ARD-2144.jpg"
3,ARD-2145,"عطر اساطير نساء",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2145.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2145.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2145-6F1B845A.webp,image/webp,1200,1200,50000,6F1B845A5B0E99E42D3FA005A4B08465BD83478AC1DD02A6E326201974DCB224,"ARD-2145.jpg"
4,ARD-2147,"عطر اطياف ذهبي",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2147.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2147.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2147-9E709D78.webp,image/webp,1200,1200,50000,9E709D78E9198FC7D390DD013183894EDA5268AB65CCEF79559E86903194BE5C,"ARD-2147.jpg"
5,ARD-4801,"سيت هدايا فخر لطافة رجال",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-4801.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-4801.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-4801-A79DFAD4.webp,image/webp,1200,1200,50000,A79DFAD49D28F25BFFC323323504E1FEFB98D6F775AA61445D6D6CE0D87B7B2F,"ARD-4801.jpg"
6,ARD-5051,"عطر انا الابيض باشون 100 مل",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-5051.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-5051.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-5051-A613B158.webp,image/webp,1200,1200,50000,A613B158C066F5AAFA284F7260A5E1C31D581CAF7F7B0004640124EE285A641A,"ARD-5051.jpg"
7,ARD-5060,"عطر كرييتف ارت 100 مل",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-5060.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-5060.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-5060-33C64D09.webp,image/webp,1200,1200,50000,33C64D092B879251192977AA7FEBAFBF8423F2BCE372FB476C9B4F1DAB85A021,"ARD-5060.jpg"
8,ARD-2672,"معطر جسم انت الاول 200 مل",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2672.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2672.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2672-11DF982F.webp,image/webp,1200,1200,50000,11DF982F6A3DA08E758470002EDC2098A2906DCF0E785243C047CF374D535714,"ARD-2672.jpg"
9,ARD-2674,"معطر قائد الشباب 200 مل",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2674.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-2674.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-2674-29B68A49.webp,image/webp,1200,1200,50000,29B68A493AA18DC72814B1616153F1B6AE5737819649ECCCCE86AB2EC2BFD11E,"ARD-2674.jpg"
10,ARD-4554,"معطر مسمم ابيض انتنس 200 مل",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-4554.webp",".tmp-product-import/ard-al-khaleej/bulk2200/normalized/ARD-4554.webp",local_file,YES,APPROVED,2026-08-14T17:00:00Z,ac7c356b-bcdf-4700-b31f-c6d2c5b53ca7/bulk2200/ARD-4554-F08D655D.webp,image/webp,1200,1200,50000,F08D655D2EE8B1CBB09E9CA0E898FB4B54FE107AFC158CAD8C666B3E0EB085F6,"ARD-4554.jpg"
