priority,source_row,merchant_sku,product_name,brand,size,category,current_image_status,source_product_url,image_source_url,source_type,acquisition_status,review_notes
1,818,ARD-2391,"معطر دبدوب مني باريس الايف","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
2,819,ARD-2392,"معطر دبدوب مني باريس Mellennium Man","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
3,820,ARD-2393,"معطر دبدوب مني باريس Carrere delegation","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
4,821,ARD-2394,"معطر دبدوب مني باريس مون لكت","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
5,822,ARD-2395,"معطر دبدوب مني باريس انتينستي","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
6,823,ARD-2397,"معطر دبدوب مني باريس دانيس براون","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
7,824,ARD-2398,"معطر دبدوب مني باريس فلورال","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
8,826,ARD-2400,"معطر دبدوب مني باريس دريم روز","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
9,827,ARD-2407,"معطر دبدوب مني باريس سيكرت انجل","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
10,828,ARD-2408,"معطر دبدوب مني باريس سافيور","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
11,829,ARD-2409,"معطر دبدوب مني باريس مني بلوم","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
12,830,ARD-2410,"معطر دبدوب مني باريس شي احمر","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
13,831,ARD-2411,"معطر دبدوب مني باريس ميراج","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
14,832,ARD-2412,"معطر دبدوب مني باريس ترنت بارفوم","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
15,833,ARD-2413,"معطر دبدوب مني باريس فايند مي","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
16,834,ARD-2415,"معطر دبدوب مني باريس اليسا","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
17,835,ARD-2416,"معطر دبدوب مني باريس BASSION","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
18,836,ARD-2420,"معطر دبدوب مني باريس فيري سينس وردي","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
19,837,ARD-2813,"معطر دبدوب مني باريس بلو انتينس","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
20,838,ARD-3632,"معطر دبدوب مني باريس اي يو دي بلو هوم","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
21,839,ARD-3634,"معطر دبدوب مني باريس بلو انتنشن","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
22,840,ARD-3636,"معطر دبدوب مني باريس فيرسالي بيور هوم","Mini Paris","",home-linen-air,PENDING_ACQUISITION,,,merchant_backfill_required,QUEUED_FOR_BACKFILL,"Staged as metadata-only IMAGE_PENDING"
