batch_id,source_row_number,merchant_sku,normalized_name,slug,category,brand,size,price_source_status,image_readiness_status,image_source,normalized_image_path,image_sha256,validation_status,rejection_reason
batch006,1445,ARD-3419,بودي مست غلاها زايد 250 مل / أرض الخليج,بودي-مست-غلاها-زايد-250-مل-أرض-الخليج-ard-3419,body-mist-splash,أرض الخليج,250 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1446,ARD-3420,بودي مست فاطمة 250 مل / أرض الخليج,بودي-مست-فاطمة-250-مل-أرض-الخليج-ard-3420,body-mist-splash,أرض الخليج,250 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1447,ARD-3421,بودي مست صبايا 250 مل / أرض الخليج,بودي-مست-صبايا-250-مل-أرض-الخليج-ard-3421,body-mist-splash,أرض الخليج,250 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1448,ARD-3423,بودي مست العروسه 250 مل / أرض الخليج,بودي-مست-العروسه-250-مل-أرض-الخليج-ard-3423,body-mist-splash,أرض الخليج,250 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1449,ARD-3424,بودي مست الانوثه ابيض 250 مل / أرض الخليج,بودي-مست-الانوثه-ابيض-250-مل-أرض-الخليج-ard-3424,body-mist-splash,أرض الخليج,250 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1450,ARD-3429,بودي مست مكياج 250 مل / أرض الخليج,بودي-مست-مكياج-250-مل-أرض-الخليج-ard-3429,powder-makeup,أرض الخليج,250 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1451,ARD-3472,بودي مست فقط لنساء 250 مل / أرض الخليج,بودي-مست-فقط-لنساء-250-مل-أرض-الخليج-ard-3472,body-mist-splash,أرض الخليج,250 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1452,ARD-183,عطر دلع البنات,عطر-دلع-البنات-ard-183,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1453,ARD-216,عطر كهرمانه,عطر-كهرمانه-ard-216,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1454,ARD-234,عطر راشد,عطر-راشد-ard-234,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1455,ARD-236,عطر عليا مركز,عطر-عليا-مركز-ard-236,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1456,ARD-240,عطر صدفه,عطر-صدفه-ard-240,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1457,ARD-241,عطر قوارير,عطر-قوارير-ard-241,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1458,ARD-243,عطر فزاع اصدار محدود,عطر-فزاع-اصدار-محدود-ard-243,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1459,ARD-244,عطر الباشا,عطر-الباشا-ard-244,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1460,ARD-245,عطر الاسطوره رجالي,عطر-الاسطوره-رجالي-ard-245,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1461,ARD-250,عطر ايهم,عطر-ايهم-ard-250,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1462,ARD-251,عطر مينا,عطر-مينا-ard-251,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1463,ARD-347,عطر غلا راشد,عطر-غلا-راشد-ard-347,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1464,ARD-358,عطر ملك / مملكه العود,عطر-ملك-مملكه-العود-ard-358,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1465,ARD-461,عطر كيان / رجالي,عطر-كيان-رجالي-ard-461,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1466,ARD-589,عطر كيان نسائي,عطر-كيان-نسائي-ard-589,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1467,ARD-616,عطر جود,عطر-جود-ard-616,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1468,ARD-1001,عطر الافندي,عطر-الافندي-ard-1001,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1469,ARD-1147,عطر نخبة العود,عطر-نخبة-العود-ard-1147,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1470,ARD-1313,عطر الحفرة,عطر-الحفرة-ard-1313,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1471,ARD-1347,عطر شهلة,عطر-شهلة-ard-1347,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1472,ARD-1364,عطر شجاع,عطر-شجاع-ard-1364,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1473,ARD-1718,عطر ميرا,عطر-ميرا-ard-1718,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1474,ARD-1862,عطر مهرة,عطر-مهرة-ard-1862,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1475,ARD-1994,عطر نشوة 100 مل,عطر-نشوة-100-مل-ard-1994,perfumes,مملكة العود,100 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1476,ARD-2011,عطر القدوة,عطر-القدوة-ard-2011,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1477,ARD-2087,عطر قسم 100 مل,عطر-قسم-100-مل-ard-2087,perfumes,مملكة العود,100 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1478,ARD-2093,عطر لواء 80 مل,عطر-لواء-80-مل-ard-2093,perfumes,مملكة العود,80 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1479,ARD-2102,عطر الكوخ رجال,عطر-الكوخ-رجال-ard-2102,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1480,ARD-2103,عطر الكوخ نسائي,عطر-الكوخ-نسائي-ard-2103,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1481,ARD-2244,سيت مملكة العود ابيض 6ق 35 مل,سيت-مملكة-العود-ابيض-6ق-35-مل-ard-2244,perfumes,مملكة العود,35 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1482,ARD-2431,عطر العراب 100 مل,عطر-العراب-100-مل-ard-2431,perfumes,مملكة العود,100 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1483,ARD-2434,عطر لولو,عطر-لولو-ard-2434,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1484,ARD-2678,عطر نيشان احمر,عطر-نيشان-احمر-ard-2678,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1485,ARD-2731,عطر فزاع احمر 100 مل,عطر-فزاع-احمر-100-مل-ard-2731,perfumes,مملكة العود,100 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1486,ARD-2821,عطر اكنان 100 مل,عطر-اكنان-100-مل-ard-2821,perfumes,مملكة العود,100 مل,VALID,IMAGE_PENDING,,,,READY,
batch006,1487,ARD-2871,عطر نشمي,عطر-نشمي-ard-2871,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
batch006,1488,ARD-2872,عطر قهار,عطر-قهار-ard-2872,perfumes,مملكة العود,,VALID,IMAGE_PENDING,,,,READY,
