node.exe : npm warn Unknown env config "devdir". This will stop working in the next major version of npm. See `npm 
help npmrc` for supported config options.
At line:1 char:1
+ & "C:\Program Files\nodejs/node.exe" "C:\Users\derma\AppData\Roaming\ ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (npm warn Unknow...config options.:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

> DilMart-store-backend@0.1.0 lint
> eslint "src/**/*.ts"


E:\Project\DilMart-Store\backend\src\main.ts
   9:22  error  A `require()` style import is forbidden   @typescript-eslint/no-require-imports
  62:17  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  62:27  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\admin\admin-operational-alerts.service.ts
   60:72  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  237:22  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  266:26  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  276:26  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\admin\admin.controller.ts
  453:39  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  459:64  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  465:49  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  485:74  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  505:41  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  511:66  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\admin\admin.service.ts
   415:22   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   465:97   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   471:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   473:28   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   489:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   500:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   518:63   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   527:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   528:32   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   529:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   538:45   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   545:14   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   559:75   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   563:84   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   685:48   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   686:37   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   689:23   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   690:36   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   709:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   770:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   793:48   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   793:80   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   796:52   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   809:48   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   809:92   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   812:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   825:49   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   825:94   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   826:35   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   827:18   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   837:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   844:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   865:48   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   865:80   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   868:52   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   872:29   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   873:16   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   877:21   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   877:69   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   878:21   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   878:65   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   886:73   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   887:46   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   887:91   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   891:109  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   903:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   925:67   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   925:99   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   929:47   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   930:44   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   947:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   976:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   982:41   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
   995:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1161:22   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1172:35   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1177:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1199:20   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1200:20   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1202:42   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1205:31   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1206:28   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1209:33   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1210:33   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1223:30   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1230:79   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1235:28   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1236:31   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1241:41   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1244:10   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1351:98   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1372:71   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1390:79   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1403:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1438:79   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1439:41   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1446:71   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1457:63   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1567:49   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1595:12   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1619:38   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1624:71   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1637:62   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1641:80   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1741:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  1786:19   error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\admin\delivery-intelligence.service.ts
  154:53  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  155:57  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any
  190:47  error  Unexpected any. Specify a different type  @typescript-eslint/no-explicit-any

E:\Project\DilMart-Store\backend\src\modules\analytics\analytics.controller.ts
